title,performer
Darwin in Edinburgh,Jane Westhead
A Dram Good Time with Keeble Cask Co,George and Rachel Keeble and the Keeble Cask Company
The Drum'n'Bass Aerobics Experience,Drum n Bounce
E-bike Cycle Tour of Arthur's Seat,A wee pedal
Edinburgh – A Tale of Two Towns,Saints and Sinners Walking Tours
Edinburgh’s Fun and Funny Walking Tour,Edinburgh Street Historians
Distillery After Hours,Holyrood Distillery
Edinburgh's Greatest Hits Music Walking Tour,Edinburgh Music Tours
Edinburgh’s LGBTQ Walking Tour,Edinburgh Street Historians
Embro,Edinburgh Poetry Tours
Escape the Crowds – Walk Dean Village and the Water of Leith,Local Eyes Tours
Forgotten Swallies: A History of Lost Drinks in Scotland 2.0,Sip Antics Micro Distillery
Free Royal Mile Tours,Edinburgh Festival Voluntary Guides Association
From Sheep to Shop: Crafting Ethical Scottish Knitwear,Woolkind
Fun-Size Wine Tasting,Vegan Tipples
Highlight Tour of St Cecilia's Hall,Staff and Volunteers of St Cecilia's Hall
Hutton in Edinburgh,Jane Westhead
Jewellery Pop Up Shop – Made In Scotland,@han.bourn @ruth_lessly @balintsamad @manomjewellery @olivia_taylor_design
Life Drawing at the Pianodrome,Reconfigure Life Drawing in collaboration with the Pianodrome
Midnight Treats at the Fringe,Tipsy Midgie Whisky Bar
Modern Medicine: Menstruation,Physicians' Gallery
Notes of Freedom,Lisa Williams
The Most Toast,RGB Monster
Murder at The Speakeasy,Not Cricket Productions
Newscast,BBC
Nightpiece Film Festival,Nightpiece Media
Not Another Whisky Tasting!,"The Scotch Malt Whisky Society, 28 Queen Street."
Planetarium Lates: Sing-a-Long The Greatest Showman,Planetarium Lates at Dynamic Earth
A Plus One Ditch the Apps Live Dating Game Show,Ana Little
The Reset Room,Brahma Kumaris Inner Space – Edinburgh
Sacred Arts Festival Church Service at Old Saint Paul’s Orthodox: Vespers,The Sacred Arts Festival Singers
Sacred Arts Festival Church Service at St Giles',"The Reverend Dr Scott Rennie, Minister"
Sacred Arts Festival: Exploring Sacred Space at Magdalen Chapel,Peter Burman and Ross Burgess
Sacred Arts Festival: Exploring Sacred Space at Old Saint Paul’s Memorial Chapel,Mark Gibson
Sacred Arts Festival: Exploring Sacred Space at Sacred Heart,Sarah Galloway
Sacred Arts Festival: Exploring Sacred Space at St James Goldenacre,Dr Peter Burman and Ross Burgess
Sacred Arts Festival: Exploring Sacred Space at St Michael and All Saints,Fr Oliver Brewer-Lennon
Sacred Arts Festival Film at St Vincent’s Undercroft: The Life of Moses,Richard Kendall
Scottish Food and Drink Walking Tour,Edinburgh Food Safari
Shadowbanned,Ask A Stripper
Step One,Short Supply
Swirl Sip Socialise: Beyond the Label,Swirl Sip Socialise and Cask and Vine
Taste of Scotland,Ghillie Dhu
Three Drams Walk Into a Bar...,"The Scotch Malt Whisky Society, The Vaults"
Traditional Scottish Knit and Natter,Ginger Twist and Melanie Gall Presents
The Underground Lectures,Not Cricket Productions
V C Festival Sparkling Wine Tasting,Francesco Cardinale DipWSET
A Wee Dram at the Fringe,Cask and Vine
West End Fair,3D2D Events Ltd
Whisky Under the Stars,Dynamic Earth
Whisky Wanderer: The Whisky Trail,The Scotch Malt Whisky Society
The White Heather Club's Fringe Ceilidh,The Charlie Kirkpatrick Band
"A Wolf, A Weapon and Whisky with Skene Dhu",Cask and Vine and Skene Dhu
162nd Edinburgh International Photography Exhibition 2026,Edinburgh Photographic Society
Alison Kinnaird MBE – Art in Glass,Alison Kinnaird MBE
Art to Wear: International Contemporary Jewellery Exhibition,Lily Luna Edinburgh Jewellery Boutique
Artists @ Patriothall,Exhibition by Studio Artists
C digital performance and film,C presents
Catherine Opie: To Be Seen,National Galleries of Scotland
Clay 2026,Stockbridge Ceramics
Costume Couture: Sixty Years of Cosprop,Dovecot Studios
Echoes of Lingnan: Cultural Sustainability and Service Design,Guangzhou College of Commerce
Elizabeth Blackadder: A Life in Colour,Dovecot Studios
Eva Rothschild: The Void Presses The Wall,Fruitmarket
Exhibition: Craigmillar Tapestry,Craigmillar Tapestry Project
Festival Exhibitions,The Scottish Gallery
For the Safety of All: Scotland's Lighthouses,National Records of Scotland
From Traquair to Tiree,Moy Mackay
Giants,National Museums Scotland (From Royal Belgian Institute of Natural Sciences)
Gwen John: Strange Beauties,National Galleries of Scotland
Jake Chapman – Nicesis: The Unwellness of Wellbeing,Scott Lawrie Gallery
Jewellery of the World,Galerie Mirages
Make Me Bouquet,Zone 10
A Merchant’s Journey,Galerie Mirages
Mesmerising Mechanisms,Ian Graham
Morphological Murmurations,Theodore Koterwas
Open Studios at Beaverhall Arts Studios,Beaverhall Art Studios
Paisley Patterns,Davy Macdonald
Paperback Revolutions,National Library of Scotland
Phoebe Anna Traquair Murals at Mansfield Traquair Centre,Friends of Mansfield Traquair Centre
Rain,National Library of Scotland
Recovery Room,Dr Neil's Garden
Sacred Arts Festival Exhibition 'Bordering on the Sacred' at St Vincent's Chapel Undercroft,"David Grossart, Carol Marples"
Prison Nursing Unlocked: A History of Care and Justice,Royal College of Nursing
Terrane,ætla
The Wee Museum of Memory and The Wee Play Hub,Living Memory Association
The Worst Record Covers in the World,Steve Goldman
2 for the Price of Song,Alasdair Dow and Stuart Honeyman
"2 Guys, 3 Drams: The Ultimate Live Blues and Whisky Experience",Water of Life Productions
5 Dates with Italian Jazz Affair,Anna Vanosi
5 Nights of Valery Ponomarev: The Jazz Messenger,The Valery Ponomarev Quintet
10 Years in Harmony,HarmonyChoir
14th Year! John Hunt Four O'Clock Afternoon Blues and Swing 27 Club,Amplified House and Assembly Festival
70s Jukebox by The 60 Four,The 60 Four
1-800-Harmony-Hotline,The Bristol Suspensions
1896-2026: An Epic of Electronic Music and its Technology,The Riventron Factory (Poland)
"1933 – Fats Waller, Harlem and the Blues Belters",Ali Affleck and The Gin Mill Genies
Aaaah it's Nicole Smit and Jed Potts!,Nicole Smit and Jed Potts
ABBA Gold The Concert,Solid Gold ABBA
ABBA Odyssey Live in the Club! For One Night Only!,ABBA Odyssey
ABBA Odyssey – The Live Concert!,ABBA Odyssey
"ABBA, The Journey",Night Owl Shows
About Legends and Legacies,The Spatz Quartet
About Women,Alison Bishop and Stuart Hope
Absolute Frankie Valli and The Four Seasons,The False Seasons
Acoustic Blues and Roots in the Afternoon,Malt & Rye
Acoustic Blues with Smith and Tweeddale,Derek Smith and Sandy Tweeddale
After Hours Vocals: Welcome to the Club,The Menagerie Club
An Afternoon of Uplifting Piano and Song with Angela MacKenzie,Angela MacKenzie and Friends
Afternoon Violin and Piano,Sheena Jardine and Stephen Doughty
Aja! A Steely Dan Tribute,Aja! A Steely Dan Tribute
Akiko Okamoto in Concert,Akiko Okamoto
Akiko Okamoto Plays Beethoven's 4th Piano Concerto,Akiko Okamoto and strings
Alastair Savage and Ailie Robertson: Fiddle and Clarsach – Scottish Roots,Alastair Savage and Ailie Robertson
Alastair Savage and Alice Allen: Fiddle and Cello – Scotland and Beyond,Alastair Savage and Alice Allen
Alastair Savage – Scots Fiddle Old and New,Alastair Savage and Friends
Alastair Savage – The Fiddle and Robert Burns,Alastair Savage and Gregor Blamey
Ali Affleck's Queens of Swing,Ali Affleck and the Bedlam Boys
All Aboard the Jazz Express!,The Hot Jazz Vagabonds
Ali Affleck Presents Billie Holiday – Swing Brother Swing!,Ali Affleck and the Gin Mill Genies
Ali Affleck Presents the Louis Armstrong Duets with Ella Fitzgerald and Bing Crosby,Ali Affleck's Swinging Scoundrels
Ali Affleck Presents the Queens of Country,Ali Affleck
All Eyes On Us,The Songsmiths
All the Hits of The Beach Boys,The Beached Boys
Allman Brothers Appreciation by Safehouse,Stirling Vision
Amazing Life Gospel Choir in Concert,"Amazing Life Gospel Choir, directed by Angela MacKenzie"
America's Hot Jazz and Blues Roots with The Vagabond Jacks,The Vagabond Jacks and International Guests
Amy – Tears Dry on Their Own,Fringe Management
Amy Winehouse Celebration,Jes Moon
Amy Winehouse Meets Jazz by Marianne McGregor,Marianne McGregor Trio
An Tinne,Anne Martin
Andrea Carlson and the Love Police!,Andrea Carlson and the Love Police!
Another Summer,Some Strange Harmony
Appassionato: Romantic Songs of Italy,Philip Contini and Anne Evans
Aquapella,Aquapella
Arabesque,Stefan Warzycki
Are Musical Comedians a Chinese Psyop?,The Kev
Around The World In 60 Minutes,Take Note Edinburgh Choir
Attila the Stockbroker's Early Music Show,Attila the Stockbroker and Calum Baird / PBH's Free Fringe
Attuned Duo,Wendy Leung (piano)
Auld Lang Sing,Anam Alba Creative CIC
Bach and Brahms,Anne-Isabel Meyer (cello) and Julian Jacobson (piano)
Bach Cello Suites,Anne-Isabel Meyer
Bach Complete Violin Solo I,Wolfgang David and David Gompper
Bach Complete Violin Solo II,Wolfgang David and David Gompper
Bach Complete Violin Solo III,Wolfgang David and David Gompper
"Bach, Handel, Vivaldi",Bach Ensemble of Edinburgh
Bach Island,Janet Lees and Rab Woods
Bach: Organ Works,David Hamilton: Organ
Be United Presents: Rhythm and Bass,Be United
Bach Preludes and Gigues,Anne-Isabel Meyer (cello)
Back to Black: The Story of Amy Winehouse,Night Owl Shows
Bad Girls,Bad Girls Creative
Bad Santa and the Angry Elves,Bad Santa and the Angry Elves
Barnsley Youth Choir – Illuminate,Barnsley Youth Choir
Bearnhardt: Beyond Burnout,Bearnhardt
Beatles Acoustic Trio,Boyds Music
The Beauty of Sound in Japanese Traditional Performing Art 2026,Tanaka Denjiro and musicians
Beefheart – Big Dummies!,Orange Claw Hammer
Behnam Ghazanfaripour – The Music of the Santour,Behnam Ghazanfaripour – Persian Classical Music
Bel Cobain,Bel Cobain
Best of Burns,Kevin Thompson
Best of the West End!,Show Choir
Big Band Bublé,Michael Hastie and Jon Ritchie & That Swing Sensation
The Billy Joel Story,Night Owl Shows
Blue Note Nights: JazzMain on the Fringe,JazzMain
Bluebell Swing,Bluebell Swing
Blues Guitar Duo – Hot Tin Roof,Hot Tin Roof
The Blueswater,The Blueswater
Bob Dylan On Piano,Mike Kearney
Bonnie Bayou,Jennifer Ewan Band
Boom Boom Battle of the Big Bad Bosses,Yat Po Singers
Both Sides... Phil Collins and Genesis Celebrated,Night Owl Shows
The Bowie Story,Night Owl Shows
Brass Tracks,Brass Tracks Quintet
The Breakup Variety Hour,Ariana and the Rose
Broadway Melodies: The Joy of Musical Theatre,Philip Contini and His Be Happy Band
Bruntsfield Baroque,Bruntsfield Baroque
Cabaret with Pitchcraft,Pitchcraft
Celebrity Organ Recital II: American Connections,Matthew Beetschen
Cadenza at the Fringe,Cadenza
Celebrity Organ Recital III: Great Danes,Kevin Duggan
Caledonia,Elsa Jean McTaggart
California Dreams,Night Owl Shows
Candlelight Concerts: The Complete Mozart Piano Sonatas,Fringe Classics
Celebrity Organ Recital I: Continental Connections,Brigitte Harris
Celebrity Organ Recital – Rachel Mahon,Rachel Mahon
Celebrity Organ Recital – Tom Little,Tom Little
Celtic Tales,Elsa Jean McTaggart
Celticana: Scottish Soul Meets Americana Grit,Steve Crawford and Spider MacKenzie
Channel,Wet Hands
Cheryl – A Rock Opera,Attila the Stockbroker and John Otway / PBH's Free Fringe
Chloe Matharu,Chloe Matharu
Chopin / Schubert: Sorrow and Hope,Ailsa Aitkenhead
Cirque du Piano,Fringe Classics
Clann An Drumma: Thunder of the Celts,Clann An Drumma
Classical Bagpipe Music – Scotland's Hidden Treasure,The Piobaireachd Society
Classical Guitar Jonathan Prag,Jonathan Prag Classical Guitar
Claude Bourbon – Progressive Blues,Claude Bourbon
Code of Grace,Grace Art Studio
Colin Steele and Martin Kershaw Quintet play Chet Baker and Stan Getz,Colin Steele
Colin Steele Quintet play Miles Davis,Colin Steele
Colours in Traditional Japanese Music,Tanaka Denjiro VII and musicians from the Kabuki Theatre
Concerto for Choir,Calton Consort
Concerts of the Future,"House of Oz, The Sonicrats and the Melbourne Symphony Orchestra"
The Corner Room at the Fringe: Little Acres and Swinging on Birches,Little Acres / Swinging on Birches
The Corner Room at the Fringe: Timmy Allan Quintet and Matt Gough,"Timmy Allan, Matt Gough"
Crazy Little Sing Called Pub,Crazy Little Sing Called Pub
Culture Code,Culture Code Orchestra
Curmudgeon – Traditional Scottish Folk Music,Curmudgeon
Dancing Mice – The Truth,Dancing Mice
"Daniel Cainer: What Am I, Chopped Liver?",Daniel Cainer / Suzanna Rosenthal Productions
Daniel Martinez – Flamenco Lunch,Daniel Martinez Flamenco Company
A Date with the Everly Brothers,Plutonium Shows
The Days Between,The Lightnin' Way
Dean Friedman – Songs for Grownups,Dean Friedman
Dear Emily,Beyond the Blue
Debussy's Romantic Piano by Candlelight – Clair de Lune,Fringe Classics
Derek Smith Sings The Blues,Derek Smith (Main Street Music)
The Diamond Dugs (Present the Music of David Bowie),The Diamond Dugs
Divas of Soul,Divas of Soul
Django Reinhardt's Hot Club Jazz Meets Scottish Folk,Celtic Django Project
The Dolly Parton Story,Night Owl Shows
Dowally,Dowally
Durango Blue,Durango Blue
Edinburgh Renaissance Band’s Viol Rackett Show 2026,Edinburgh Renaissance Band
Edinburgh Shanty Night vs the Fringe,Edinburgh Shanty Night
Dynamics at the Movies,Durham Dynamics
Edinburgh Mozart Meets Worcestershire Lad,"Edinburgh Wind Serenades, conducted by Laurence Perkins"
Edinburgh Renaissance Band's Saints and Sinners 2026,Edinburgh Renaissance Band
"Edinburgh Youth Orchestra performs Mahler, Marquez and Oetomo",Edinburgh Youth Orchestra
Einaudi's Piano by Candlelight – Spirited Away,Fringe Classics
Ella Munro,Ella Munro
Elton John Songbook,Fringe Management
The Elton John Story,Night Owl Shows
Elvis,Fringe Management
Emma Miller: Live at St Vincent's Chapel,Emma Miller
Espirito do Brasil,Brian Molley Quartet (BMQ)
An Evening with The Magic Numbers,The Magic Numbers
Everett Chorale: Celebration Concert,The Everett Chorale /
Everything Is Everything – A Donny Hathaway Tribute,Funky Lion Productions
Extra Lives: The Interactive Video Game Concert,Extra Lives
Fauré's Requiem by Candlelight,St Andrew Camerata
Festival CD and Record Fair,Allander Record Fairs
Festival Music Nights,C presents
"Fireflies, Green Seas and Burning Cities: Original Piano Compositions by Ailsa Aitkenhead",Ailsa Aitkenhead
Flamenco Guitar Odyssey,Philip Adie
The Fleetwood Mac Story,Night Owl Shows
Fleetwood Mac's Rumours With The Transatlantic Ensemble,The Transatlantic Ensemble
FLOWERCORE by Siobhan Wilson,Siobhan Wilson
Footstomping Live Scottish Music,Footstomping
Four Courses of Italian Song,Anna Vanosi
Frankie Mack: Wired Differently – Scotland’s ADHD Showman,Frankie Mack
Full of Hot Air,David Vernon (accordion) and Dick Lee (clarinet)
Full Score Barbershop Choir Presents: Brace for Impact!,Full Score Barbershop Choir
Fysics I: Songs for Voice and Guitar,Fysics (Josef Lamberti)
Gavin Marwick with Ruth Morris and Aaron Jones,Gavin Marwick with Ruth Morris and Aaron Jones
Get Up and Gospel!,Wellingborough Community Gospel Choir
The Gil Scott-Heron Songbook,Funky Lion Productions
Giuseppe Verdi and his 19th-Century Contempories – Celebrating Verdi's 125th Anniversary (1901-2026),"Sungho Kim tenor, Llŷr Williams piano"
Glamour and Grit: The Women Who Defined Soul,Kat Brooks
Gone Native,Nicholson and Gore
Grappelli and Ella,Seonaid Aitken and Conor Smith
Great Gatsby Party – Songs of the 1920s-30s,Fringe Classics
Handel Nine German Arias,"Angela Hicks (soprano), Ancient Music Promotions"
Hannah Foster (Flute) and Simon Leach (Harpsichord),Simon Leach and Hannah Foster
Hans Zimmer's Hollywood,Fringe Classics
Harmony in Blue,Edinburgh Police Choir
Hepcat Swing,Dick Lee’s Hot Club Hepcats
A History of Jazz In Four Saxophones,Mark McKergow Quartet
Hootenanny! – Scottish Folk Sessions by Candlelight,Fringe Classics
Horsegirl,Horsegirl
Hot Dub Time Machine Presents House Party,Hot Dub Time Machine
Hot Sounds Island: A Celebration of Japanese Jazz Fusion,Hot Sounds Island
I Am a Pilgrim: The Story of American Gospel Music,Wallace State Community College Fine and Performing Arts
Illuminata,"Maria Rud (live painting), Susan Hamilton (soprano), Lucia Capellaro (cello)"
Improvisations on a Left-Handed Piano,Christopher Seed
In the Round: Songwriter's Round with Eve Simpson and special guests,Eve Simpson and guests
Introduction to Traditional Japanese Music,Tanaka Denjiro and musicians from the Kabuki Theatre
Inverkeithing Community Big Band,Inverkeithing Community Big Band
Iona Fyfe: Scottish Folksinger,Iona Fyfe
Jazz a la Carte,Tenement Jazz Band
Jazz at Lunchtime,Ian Millar and Dominic Spencer
"Jazz at the Fringe: Ballads, Blues and Spirituals","Matt Holborn, Fraser Urquhart and Ed Kelly"
Jazz in the Cellar,The Argyle House Band
Jazz Jamboree,Paul Harrison (piano) and Dick Lee (clarinet)
Jazz Sessions by Candlelight: Rhapsody in Blue,Fringe Classics
Jed Grimes,Jed Grimes
The Jive Aces: The Roots of The King,The Jive Aces
JJ Cale Appreciation Show,Stirling Vision
Johann Sebastian Bach,Bach Ensemble of Edinburgh
Johnny and June: The Story of Johnny Cash and June Carter,Lars Pluto and Jane Crowley
Joni Mitchell: Take Me As I Am,"Rainee Blake in Association with Fringe Management, LLC"
Just Radiohead,Just Radiohead
The Kate Bush Story,Night Owl Shows
The Katet vs John Williams,The Katet
Kenny Thomas,Kenny Thomas
"Kevin Gore: Original and Traditional Folk Songs of Scotland, Love, and Social Justice",Kevin Gore
Kim Edgar: Songs of Unity Singing Workshop,Kim Edgar
Kate Witney and Jonty Nowell,Kate Witney
The Katet vs 1995,The Katet
Kim Edgar: Songs of Unity,Kim Edgar
Kurtág at 100!,Valeria Szervánszky and Ronald Cavaye
La Chatte Chanteuse,Kat Brooks
La Decima Musa or The Tenth Muse,Musica Antica Rotherhithe
The Last of the Mohicans (Silent Movie with Live Musicians),David Series
Le Vent du Nord,Le Vent du Nord
Lean On Me – A Bill Withers Tribute,Funky Lion Productions
The Legend of Queen,Night Owl Shows
Legendary Pianist Julian Jacobson Returns with Great Classics,Julian Jacobson
Legends of Music,Pete Sinclair and Pete Storm
Live Original Music by Folk-IndieBob,Bob Augustine
Lorna Reid Sextet: Ain't Misbehavin'!,Lorna Reid Jazz Sextet
Let's Listen to Some of Lou Bega's Other Songs Together for an Hour,RGB Monster
Life Writing with Jez Lowe,Jez Lowe
Lights Out By Nine – Live!,Lights Out By Nine
Lindisfarne,Lindisfarne
Lost at Sea!,Hithertones Vocal Ensemble
The M8s Live 2026,The M8s
Made In Scotland Gigs presented by Wide Days,"Made in Scotland, Wide Days"
Maestro – The Masterclass With Beethoven Himself,Fringe Classics
The Maid of Norway – A Queen of Scots (1286-1290),Nordic Voices Norway
Marchmont Music,Marchmont Music
Marshall Gilmour Webbs,Marshall Gilmour Webbs
Martin Speake Jazz Duo,Martin Speake (alto sax) and Will Butterworth (piano)
"Mary, Queen of Scots – Queen of 3 Kingdoms","Marianne Beate Kielland mezzo-soprano,"
Material Girl: Madonna The Icon,Night Owl Shows
Michelle McManus and Anna Welander Present: Talk About Pop Music,Michelle McManus and Anna Welander
Musical Soulmates: Songs of Billie Holiday and Lester Young,Pitchblenders
Michelle Shocked: Bootleg This!,Roadworks and TKD Productions
Mills Farrell,Mills & Farrell
The Moon is Distant from the Sea: Songs of Emily Dickinson,Kirstin Anderson and Ailsa Aitkenhead
Mrs Weatherby's Concert Party,Mrs Weatherby's Concert Party
The Music of Sonny Rollins,Mark McKergow Quartet and Porter Jones
Ndlovu,Ndlovu Youth Choir
Neil Young On Piano,Mike Kearney
"A New Blend at the Royal Oak: Joe Jedson, Album Preview",Joe Jedson
Nick's Daughter,Nick and Livi Graham / PBH's Free Fringe
No Strings Attached Community Wind Band,No Strings Attached Community Wind Band
No' The Corries,Kev Thompson and Ross Hunter
North Sea Gas,North Sea Gas
Northern Lights Presents... Horrible Harmonies (History as You've Never Heard It Before!),Northern Lights A Cappella
Nosferatu with Live Score,Graeme Stephen
The Not So Serious Burns Unit,Hamish MacDonald and Liza Mulholland
Oh My God! It's The Church,Oh My God! It's The Church
Old Saint Paul’s Summer Concerts,Old Saint Paul’s Music
Oscar Jerome,Oscar Jerome
Otway,John Otway / PBH's Free Fringe
Out of the Blue,Out of the Blue
The Oxford Alternotives A Cappella: A Degree of Harmony!,The Oxford Alternotives
The Oxford Gargoyles: Jazz A Cappella,The Oxford Gargoyles
Paper Sparrows,Paper Sparrows
Pascol – Vocal Performance,Pascol
Peace and Harmony,Edinburgh Telephone Choir
Pergolesi – Stabat Mater and Magnificat,CORO 26
Perth Youth Orchestra Concert,Perth Youth Orchestra
Piano Concertos by Candlelight: Candlelight Baroque,Fringe Classics
Piano Concertos by Candlelight: Rachmaninoff 2,Fringe Classics
Piano Concertos by Candlelight: The Best of Mozart,Fringe Classics
Piano Favourites,William Alexander
Piano Fug-itiv,Laslasman
Piano Masterworks 2026,Charles Whitehead
Piano Recital,Alasdair Cameron
Piano Recital with Marc Corbett-Weaver 2026,Marc Corbett-Weaver (Piano)
Pianodrome Free Lunchtime Concerts,Various Artists
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Pigs Pigs Pigs Pigs Pigs Pigs Pigs
Planetarium Lates: Pink Floyd’s Dark Side of the Moon,Dynamic Earth
The Planets 360,Dynamic Earth
PLASTIC,Minyoung Kim
Positively Dylan,Jimmy Lee
The Really Terrible Orchestra,The Really Terrible Orchestra
Prana,Prana
Primary School Bangers,James B Partridge
The Quiggs Folk Duo,The Quiggs Folk Duo
Rachmaninoff / Beethoven: Fire and Passion,Ailsa Aitkenhead
The Rat Pack – Iain Ewing Quintet,Colin Steele
Red Hot Roots of Jazz,Tenement Jazz Band
Rhapsody in Chicago Blues,SoundZChicago – pianist Tim Barton
Rhinestone Cowboy: The Glen Campbell Story,Lars Pluto
The Rise of The Eagles,Night Owl Shows
The Rising – A Tribute to Springsteen and The E Street Band,The Rising
Rock Choir,Rock Choir
Sacred Arts Festival Music at Sacred Heart: O For a Thousand Tongues – Celebrating The Musical Wesleys,Sacred Arts Festival Singers
Romy Wymer and Rebekah Woodier,Romy Wymer and Rebekah Woodier
Royal Scottish Pipers' Society and Friends,Royal Scottish Pipers' Society
Sacred Arts Festival Music at St Giles': James Macmillan – Ninian,"Sir James Macmillan, Calum Robertson and Jack Oades"
"Sacred Arts Festival Music at St John’s, Princes St: Tango Mass and Magnificat","Mackintosh Choir, director Au Arias"
RuMac,RuMac
Sacred Arts Festival Music at St Mary’s Metropolitan Cathedral: Music for the Homeless Jesus,"Schola Cantorum,"
Sacred Arts Festival Music at Canongate Kirk: Young Composers Competition Recital,"Cecilia McDowall, Sacred Arts Festival Singers"
Sacred Arts Festival Music at Old Saint Paul’s: To be a Pilgrim – Words and Music in Search of God,Choir of Old Saint Paul's
Sacred Arts Festival Music at St Vincent’s Chapel: A Hymn on Divine Musick – Britten's Baroque Songs,Sam Madden and Will Sims
"Sand, Silt, Flint",Fiona Soe Paing
Sandy Brechin and Gary West,Sandy Brechin and Gary West
Sandy Not Just on Sunday,Sandy Brechin
Sax Appeal 2026,The Hume Saxophone Quartet
Scotland in Song,Terrific Trouble Ceilidh Band
Scotland Meets the United States of America,Peter Seivewright (pianoforte)
Scotland’s Songs and Music,Terrific Trouble Ceilidh Band
"Scottish Lieder with Brian Bannatyne-Scott, Jamie MacDougall and Susan Hamilton",Brian Bannatyne-Scott
Scottish Sinfonia,"Leader: Richard Gratwick, Conductor: Neil Mantle, MBE Soloist: Maya Irgalina"
Seasons in Traditional Japanese Music,Denjiro Tanaka Vll and musicians from the Kabuki Theatre
Sekoya,Sekoya
Shirley Bassey: The Life of a Dame,Sally McGreevy
#SHORN by Elsa McTaggart,Elsa Jean McTaggart
Showtime – West End Musical Choir,West End Musical Choir
Simon Garfunkel and Beyond,Night Owl Shows
Sing It!,Great Yorkshire Chorus
Sing-a-Long Scotland,"Johnny Collington, SingUp4"
Sitting on a Cornflake: Lennon and McCartney,Brothers Broke
Skyrie: 3-Piece Celtic Folk Band,Skyrie
Sobremesa – Where Words and Music Meet at the Table,Nus Duo
Solea – An Afternoon of Guitar,Solea
Solo from the Pit,Elias Faingersh / Teater KEF
Solo Way Ukrainian Choir,Solo Way
The Song of the Ice,Steve Garrett
Song Over Scotland,Robyn Stapleton
The Sorries,The Sorries
The Sound of 17: A Big Band Spectacular!,Sound of 17 Big Band
Sound Strokes: A Harmonious Blend of Chinese and Scottish Music,Wan Xing
Soundbone plays Led Zep,"Chris Greive (electric trombone), Graeme Stephen (guitar), Davide Rinaldi (drums)"
Sounds of St Cecilia's I: The Forgotten Baroque Traditions: A Self-Portrait of a 21st Century Artist,Kenneth Yeung
"Sounds of St Cecilia's II: Conversations, Baroque, Blue and Beyond",Hilary Michael and Richard Michael
"Sounds of St Cecilia's III: Spanish Flavours: Dance, Fire and Elegance",Cokus Duo
Sounds of St Cecilia's IV: Fit for a Flute,Gerry McDonald and John Kitchen
Sounds of St Cecilia's V: Shakuhachi: The Sound of Silence,Markus Guhe
South London Jazz Orchestra,South London Jazz Orchestra
SpitNights – Poetry Meets Improv Jazz,SpitNights
St Mary's Cathedral Choir: Songs of Farewell,St Mary's Episcopal Cathedral Choir
St Mary's Cathedral: Lunchtime Recitals,Various perfomers
St Mary's Cathedral: Organ Recitals,St Mary's Episcopal Cathedral
Stations of Mychal,"Richard Novak, Ames Asbell and Joey M Martin"
The Steilers and Friends,The Steilers
Stevie Nicks – The Gypsy That I Was,Fringe Management
Stitch in Time: A Knitting Cabaret,Melanie Gall Presents
Stomp Off! Jazz and Ragtime Jam Session,Tenement Jazz Band
Stories in Song,Kate B and Michael Grayson
A Story of Love and Loss,"Duo Lamorniana: Ricarda Schmidt, viola and Ute Weickenmeier, piano."
The Stray Notes Choir,The Stray Notes Choir
Sundown Swing,Sundown Swing
The Swingaholics live at Valvona Crolla,The Swingaholics
Swingin' Solo Jazz Piano 2026,Charles Whitehead
That 70s Choir!,Jam Theatre Show Choir
There's A Song For That,Overton & McCann
This Is The Kit,This Is The Kit
This Old Cello Box,William Jack
The Times They Are Still A-Changin',Bruce Davies
To Be Arranged...,University of Exeter’s Illuminations A Cappella
Together in Harmony,Wilson Falconer
Tom McGuire and The Brassholes,Tom McGuire and The Brassholes
Tone Up: Nae Instruments Needed,Tone Up
Tùs/Origin... and Jazz Was Born in Scotland,Brian Molley Quartet
Tutti Orchestra: Around the World,Tutti Orchestra
Violin and Piano: Beloved Melodies,Wolfgang David and David Gompper
Vivaldi Gloria and Other Italian Splendours,Edinburgh New Town Church Choir
Two Great Scottish Pianoforte Passacaglias,Peter Seivewright (Pianoforte)
Ukrainian Collective,"Karina Cherviakova, Nataliia Khomenko, Flowers of Ukraine and Tvorchi UA"
Voices of Lions,Artfelt
Vox Stars presents Star Inspirations,Vox Stars
Vroni's Streetpiano Party,Vroni Holzmann and Joey Sanderson
Valentin Sylvestrov b1937 – the World-Famous Ukrainian Composer,"Andrii Kymach baritone, Jâms Coleman piano"
WACAPPELLA,Winchester A Cappella
Wagner’s Ring for people who can’t be bothered to sit through it,Rainer Hersch
Wallace and Gromit Live: A Grand Day Out,Whitburn Band
Wallace and Gromit Live The Wrong Trousers,Whitburn Band
Welcome to the End of the World,Case Watson
When Judas Met John: Dylan and Lennon,Brothers Broke
Where Do You Come From?,Glen Peters
"Whisky Witches: An Immersive, Magical, Musical Whisky Tasting",Whisky & Witches
The Whistlebinkies Play Scottish Folk,The Whistlebinkies
Will Pickvance: Piano Diaries,Will Pickvance
Woman,Echo: Amplifying Women's Voices in the Arts
Women of Rock,Night Owl Shows
Wylde Britain,Laurence Perkins
1 Missed Call,Chris Duke
2ShoulderPads: Galaxy Train,2Shoulderpads
9 to 5 JR,Stage Skool LIVE
The 25th Annual Putnam County Spelling Bee,Potomac Theatre
An A to Z Guide to Dating,The Queens of Cups
After Winter,Beyond Words Theatre
