title,performer
Fischy Music Children’s Choir Workshop,Fischy Music
Fischy Music Christian All-Age Concert,Fischy Music
Fischy Music Concert featuring the Fischy Children’s Choir,Fischy Music
Flamenkids,TuFlamenco
Float,Starcatchers
The Flying Bubble Show,Maxwell the Bubbleologist
FoRT,Asking For Trouble
Frankie Monroe: A Show for Babies,Frankie Monroe
Frogs in Bogs,Familia
Hello Birds,Jasmine Cole Productions
Godly Play,The Salvation Army
The Greatest Magic Show,Showmen Productions
Heimer,Roarrr Theatre
Hello Beach,Jasmine Cole Productions
A History Mystery,Performing Arts Studio Scotland
The Hobbit,ETC
How to Spot an Alien,Siege of Herons
Hugo's Rainbow Show,Duces Wild & Hugo Grrrl
Humdinger Words for Whippersnappers and Guttersnipes,Ben Dali
Ian and His Talking Fingers Magic Show,Ian Saville
Improv Banana – Kids Comedy,Roy Allaway
Kids Breakfast Klub,Brewhemia
The Letterman,Barroz Productions
The Lion and the Mouse,Recitals for Wrigglers
The Listies: 110% Ready,House of Oz and The Listies
Madame Chandelier's Grand Theft Opera,Delea Shand
Magic Maestros,Matt Watson and John Watson
Magic Spectacular,Jokers Comedy
A Magical Journey to Sichuan,Tianfu School | CCW China Season
Mama G: The Magic Bookmark,The Cosmic Shambles Network
Mario the Maker Magician,"Underbelly, NCM and Mario the Maker Magician"
"Mark Watson Tries to Impress Children, for Some Reason",Impatient Productions
Max Fulham's Monkey Business,Max Fulham
A Midsummer Night's Dream,King School
Monski Mouse's Baby Cabaret Olaf Falafel’s Stupidest Super Stupid Show: This Time It’s Stupider!,Olaf Falafel
Once Upon a Tune,Jaz Alice Music
Owl at Home – Theatr Iolo,Written by Arnold Lobel adapted by Rina Vergano
Piano Dismantling Action,Pianodrome CIC
Monski Mouse's Baby Disco Dance Hall,Monski Mouse
A Picture Book Musical: Milly's Musical Adventure,Grownup Playhouse
Piemaggedon,Some Funny Cluckers
A Pirate Adventure!,Viva Arts and Community Group
Sanxingdui Adventure,Chengdu Fanyi Children's Theatre | CCW China Season
A Pirate's Bedtime,Riverside Theatre Company
Places I Go from My Bed,Katherine McGerr and Erica Murphy / Syracuse University
A Puppet Zoo Adventure!,Steph Ventriloquist
Science Circus,Donal Vaughan
Science in the Round: Things That Spin,See Through Science
The Science Storyteller,The University of Edinburgh – School of GeoSciences
Scottish Family Panto Fun with Mr ButtonZ and The Buttons Show!,The Buttons Show starring Mr Buttonz
